year,runtime,director_count,star_count,rating_class
2022,161,3,1,3
2022,192,2,8,3
2022,139,1,4,3
2022,100,1,1,2
2022,127,4,5,3
2022,130,5,17,4
2018,134,3,4,3
2022,176,4,1,3
2009,162,2,8,3
2022,125,7,20,3
2022,147,2,8,2
2012,142,3,5,3
2022,139,1,2,3
2022,137,1,5,3
2021,155,3,1,3
2022,107,1,27,3
2022,135,2,1,3
2022,187,1,2,3
2001,178,4,5,4
2022,118,2,12,3
2008,152,6,9,4
2010,148,6,3,4
2021,148,3,6,4
2000,155,7,10,4
2019,181,5,9,4
2022,102,3,6,2
2014,101,3,9,3
2019,113,8,6,3
2017,164,3,5,3
2021,143,6,16,2
2022,112,3,2,3
2022,95,1,15,2
2021,92,2,1,3
2022,122,5,3,3
2010,112,4,2,3
2001,106,7,16,3
2021,163,1,9,3
2022,116,6,6,3
2020,150,6,1,3
2021,132,4,2,3
2017,106,6,1,3
2017,141,6,2,3
2015,117,2,2,3
2014,113,7,17,3
2003,201,4,5,4
2022,112,1,5,3
2013,146,6,5,3
2021,106,13,16,2
2019,152,5,10,4
2021,131,6,1,3
2022,126,4,2,3
2022,93,5,1,2
2021,156,1,1,3
2014,121,4,8,3
2022,100,1,1,3
2015,120,1,6,4
2019,97,1,3,2
2021,115,3,12,3
2022,147,4,1,2
2019,119,3,1,4
2015,121,3,1,3
2016,123,7,9,2
2018,149,5,9,4
2020,151,2,2,2
2018,119,4,12,3
2014,129,6,2,3
2003,143,5,10,4
2022,94,1,10,2
2018,118,2,2,3
2019,130,3,9,3
2002,179,4,5,4
2011,100,4,3,3
2012,164,6,9,4
2018,147,4,17,3
2017,116,1,20,2
2016,133,2,2,3
2022,125,1,2,2
2015,116,8,6,3
2021,119,8,20,3
2018,117,1,2,4
2018,140,7,3,3
2007,138,3,5,3
2018,140,6,5,3
2002,121,4,3,3
2022,129,2,2,3
2014,134,7,5,3
2017,122,3,9,3
2021,242,11,6,3
2013,124,5,17,3
2006,144,8,9,3
2022,132,13,9,3
2017,113,4,1,3
2004,124,8,5,3
2022,136,12,6,3
2016,108,2,12,3
2005,116,7,17,3
2013,143,11,6,3
2011,124,3,5,3
2017,137,5,7,4
2019,125,3,10,3
2022,130,8,3,2
2019,132,1,1,3
2006,117,11,15,3
2006,139,1,1,3
2021,148,5,9,2
2019,95,1,1,3
2019,141,6,3,3
2005,140,6,9,4
2009,153,3,5,3
2014,132,13,11,3
2022,107,2,1,3
2021,152,7,10,3
2019,104,2,1,2
2012,109,3,1,3
2021,134,1,4,3
2021,132,1,1,3
2003,111,3,3,4
2015,156,1,3,3
2014,139,1,4,3
2015,133,3,3,3
2006,85,2,7,3
2012,143,3,9,3
2007,144,12,5,3
2004,131,4,27,3
2015,138,6,3,3
2007,124,13,16,3
2022,104,3,2,2
2020,123,2,2,3
2008,126,4,9,3
2014,113,3,5,3
2012,130,4,17,3
2008,92,1,3,3
2009,158,8,8,2
2015,137,6,5,3
2015,137,3,16,3
2002,145,7,17,3
2019,121,3,15,3
2009,107,6,16,3
2021,118,3,20,3
2022,106,3,12,3
2013,116,3,5,3
2022,106,5,12,2
2022,114,8,16,2
2010,125,5,2,3
2016,128,3,10,3
2018,128,1,8,3
2009,162,11,1,3
2017,130,2,12,3
2017,141,2,2,3
2005,144,7,3,3
2008,107,2,2,3
2016,116,3,10,3
2019,122,12,1,3
2018,143,3,4,3
2022,147,6,3,3
2019,137,4,20,3
2001,122,13,11,3
2016,151,11,10,3
2018,110,3,5,3
2017,133,3,6,3
2017,136,4,8,3
2017,119,2,20,3
2020,109,1,5,3
2021,139,1,2,3
2014,123,6,5,3
2017,154,12,16,2
2015,124,2,8,3
2018,140,1,15,3
2017,136,5,16,3
2015,141,3,9,3
2011,115,2,12,3
2001,144,7,4,3
2008,106,3,9,3
2000,104,6,8,3
2012,143,3,9,3
2013,131,8,7,3
2010,117,6,5,3
2001,132,1,3,3
2004,115,4,2,3
2019,128,12,12,3
2015,131,4,17,3
2020,119,3,15,3
2020,109,1,2,2
2022,105,1,20,3
2016,147,5,5,3
2022,122,2,3,3
2003,107,4,8,2
2016,118,2,1,3
2021,148,11,5,2
2004,101,11,1,3
2017,120,11,10,3
2013,104,2,3,2
2019,128,2,1,3
2011,140,3,6,4
2017,115,2,5,3
2009,127,6,8,3
2017,129,4,10,3
2018,130,1,3,3
2022,113,1,5,3
2005,121,6,9,3
2019,123,1,1,3
2001,183,12,10,3
2013,119,13,15,3
2005,132,4,2,4
2001,130,3,4,3
2021,110,1,2,2
2016,144,12,1,3
2004,115,3,9,3
2011,130,6,16,3
2017,152,3,3,3
2011,109,2,1,3
2005,140,2,5,3
2014,97,3,6,3
2003,121,4,6,3
2009,109,5,15,3
2006,104,6,1,2
2011,132,4,17,3
2009,88,6,5,3
2020,94,1,1,2
2003,147,12,9,3
2010,98,3,3,4
2022,102,3,14,2
2011,119,4,9,2
2018,121,13,11,3
2010,103,2,1,1
2013,126,1,5,3
2022,110,4,3,2
2021,113,2,5,3
2018,113,4,20,2
2008,85,4,2,3
2018,135,6,1,3
2006,109,1,1,3
2015,148,3,9,3
2020,124,2,9,3
2008,90,4,16,3
2020,116,1,12,3
2016,115,2,2,3
2018,119,2,1,3
2013,130,3,9,3
2013,119,4,16,3
2002,119,7,1,3
2020,125,2,4,3
2007,100,2,4,3
2021,138,2,8,3
2022,105,1,5,3
2021,100,4,12,3
2018,121,2,15,3
2016,144,6,5,3
2012,106,2,9,3
2007,139,4,3,3
2017,136,4,2,3
2022,87,7,1,1
2003,109,4,6,3
2011,112,6,1,3
2004,105,6,9,3
2007,101,6,9,3
2022,104,2,16,2
2006,83,1,3,2
2018,100,1,1,3
2019,118,4,1,3
2021,99,1,1,3
2008,122,7,5,3
2004,146,6,11,3
2014,136,5,5,3
2009,128,8,9,3
2005,120,7,5,3
2005,96,1,3,3
2021,97,1,6,2
2019,129,3,6,3
2006,151,5,10,3
2017,110,1,17,2
2015,114,4,20,3
2020,91,1,5,3
2010,107,1,3,3
2018,122,2,1,3
2013,130,6,16,3
2013,121,10,16,3
2012,136,2,2,3
2005,187,4,1,3
2018,118,4,2,3
2019,123,2,20,3
2014,137,1,2,3
2002,142,2,5,3
2014,133,6,1,3
2018,112,6,6,3
2016,122,6,8,3
2016,107,3,20,3
2009,112,3,4,3
2016,127,3,1,2
2020,96,1,2,2
2020,95,7,1,2
2006,102,3,14,3
2003,154,3,17,3
2007,121,4,3,3
2019,99,2,2,3
2022,103,1,8,2
2019,118,1,5,2
2010,111,5,28,3
2016,118,3,17,3
2000,123,4,17,3
2020,95,1,5,2
2022,102,2,1,2
2019,138,8,2,3
2004,120,4,17,3
2020,115,1,1,2
2019,113,2,5,2
2017,126,8,1,3
2020,90,1,1,3
2011,131,6,5,3
2002,131,3,6,3
2002,88,2,2,3
2015,120,4,6,3
2014,100,3,8,3
2021,107,3,1,3
2008,112,6,1,3
2008,110,4,5,3
2021,127,7,20,3
2010,118,2,11,3
2013,123,6,1,4
2003,138,1,10,3
2011,136,1,10,3
2016,132,13,11,3
2004,137,3,3,3
2016,129,5,5,3
2014,89,4,4,3
2000,109,4,2,3
2014,165,12,16,2
2003,111,5,1,3
2013,131,4,4,3
2008,112,7,4,2
2018,100,1,1,3
2018,114,2,1,3
2019,119,2,16,3
2016,103,1,10,2
2017,115,7,17,3
2015,121,5,3,3
2006,126,6,17,3
2002,100,9,9,3
2004,131,3,7,2
2021,107,1,3,2
2012,131,10,5,2
2006,97,7,1,2
2014,98,6,20,2
2000,165,8,7,3
2011,110,2,6,2
2010,98,1,20,3
2014,132,6,8,3
2009,95,5,15,2
2010,124,4,9,3
2010,100,2,2,2
2007,169,5,10,3
2020,109,1,16,2
2011,93,2,6,3
2017,118,2,7,3
2015,105,1,3,2
2006,154,6,2,3
2009,121,3,27,3
2004,119,4,16,3
2014,102,3,1,3
2010,140,7,10,3
2017,115,4,4,3
2020,100,12,1,2
2016,101,2,2,2
2022,86,6,6,2
2017,109,1,15,2
2020,99,2,1,3
2015,124,13,6,3
2001,88,12,3,2
2017,95,1,4,2
2012,119,3,3,3
2022,92,3,28,1
2014,112,3,7,3
2007,122,5,10,3
2016,95,1,3,3
2018,121,1,27,3
2013,109,1,16,3
2006,122,2,8,3
2010,116,1,16,3
2011,104,2,27,2
2001,119,1,16,2
2021,106,2,1,3
2011,107,7,2,3
2008,114,8,15,3
2018,101,4,2,3
2007,128,4,28,3
2008,112,3,6,2
2015,126,2,6,3
2019,120,4,2,2
2005,100,2,3,3
2013,134,7,5,3
2016,99,3,15,2
2018,116,1,2,2
2012,93,1,12,2
2004,127,4,3,3
2013,116,1,9,3
2014,92,1,1,3
2021,121,5,1,2
2001,95,1,1,3
2018,128,1,1,3
2012,132,1,2,3
2001,106,4,2,3
2009,107,3,7,3
2012,84,2,2,3
2003,117,2,9,2
2008,111,2,2,3
2012,131,2,5,3
2018,121,1,8,3
2015,114,1,1,2
2013,128,1,9,3
2019,125,1,1,3
2005,119,3,1,3
2018,102,2,1,2
2016,123,7,10,3
2017,124,1,1,2
2011,111,3,2,3
2011,110,11,1,2
2008,137,3,9,3
2022,104,3,2,2
2014,102,1,1,3
2014,142,2,2,3
2002,124,7,16,2
2011,154,12,5,3
2012,109,7,6,3
2013,109,3,10,3
2004,175,2,5,2
2022,122,2,2,2
2003,110,1,1,2
2003,134,6,8,3
2021,103,1,1,2
2009,149,12,5,2
2016,123,2,3,3
2011,90,2,3,3
2021,118,1,3,3
2002,107,2,9,3
2016,107,10,16,3
2013,112,2,12,3
2017,118,4,12,3
2009,118,3,5,2
2013,126,5,7,3
2019,104,3,3,3
2010,95,1,3,3
2018,130,1,12,3
2017,118,1,1,3
2015,131,3,5,3
2014,101,3,5,2
2015,100,2,1,2
2018,107,3,1,2
2002,133,3,6,3
2020,111,10,16,3
2018,75,1,1,2
2010,124,2,5,2
2009,85,2,1,1
2019,89,2,14,3
2018,143,3,5,3
2012,115,3,11,3
2021,107,4,15,3
2014,123,2,5,3
2003,138,5,9,3
2004,122,4,4,3
2015,130,4,3,3
2007,105,12,1,3
2006,108,4,2,3
2004,108,7,10,3
2019,104,2,12,3
2005,164,7,3,3
2021,109,2,3,2
2005,109,4,16,3
2016,92,1,1,2
2010,103,3,14,3
2013,100,2,1,2
2000,118,4,27,3
2016,121,6,5,3
2010,106,6,8,2
2017,107,2,4,3
2014,112,1,6,3
2013,132,6,8,3
2014,138,1,10,2
2016,110,3,5,3
2006,126,6,11,3
2004,124,2,8,3
2022,98,1,2,2
2007,124,4,27,3
2019,99,6,1,3
2011,110,9,1,2
2012,118,4,5,3
2019,113,1,4,3
2007,110,3,27,2
2016,124,2,5,3
2000,130,2,3,3
2013,114,3,5,3
2001,131,2,2,3
2015,133,4,12,2
2003,135,1,5,2
2012,95,2,4,3
2009,140,4,9,3
2021,114,1,1,2
2015,119,5,4,3
2011,114,8,12,2
2009,94,2,3,3
2020,103,9,9,2
2021,100,1,5,2
2001,100,8,5,2
2005,95,1,16,2
2010,140,4,20,3
2022,91,2,1,3
2009,138,6,5,3
2000,109,1,5,3
2014,102,2,5,3
2016,108,1,1,2
2014,100,2,2,3
2011,127,3,7,3
2013,96,5,12,2
2005,136,12,4,3
2009,115,5,9,3
2016,115,2,3,2
2022,95,1,3,1
2003,138,3,3,2
2011,113,2,4,2
2008,92,3,14,3
2006,104,1,2,2
2008,150,1,2,3
2013,117,4,5,3
2003,103,3,10,2
2016,120,5,4,2
2004,126,13,5,3
2011,105,2,6,3
2008,88,7,5,3
2019,132,1,1,2
2021,109,7,6,2
2006,104,6,8,3
2002,124,1,10,3
2014,102,3,3,3
2019,99,1,4,3
2015,103,1,1,3
2008,92,4,6,3
2010,98,6,11,3
2015,122,6,12,3
2014,126,4,14,3
2002,138,1,7,3
2001,92,3,2,2
2006,135,6,4,3
2012,103,5,3,3
2011,101,3,4,3
2004,98,1,1,3
2016,83,6,1,3
2017,104,2,2,3
2021,91,1,6,2
2007,115,7,10,3
2012,127,2,5,3
2010,116,1,6,3
2008,92,10,9,3
2011,107,5,10,3
2016,117,4,6,3
2009,89,4,28,3
2013,130,4,1,2
2023,106,2,1,2
2005,124,2,6,2
2019,98,2,5,3
2018,125,1,1,3
2021,88,2,2,2
2004,119,1,1,3
2021,104,1,1,2
2002,94,1,1,3
2011,129,8,9,3
2018,94,10,16,3
2018,159,2,7,3
2020,90,1,10,2
2018,115,1,1,3
2017,140,4,1,3
2014,130,4,1,3
2015,106,2,16,2
2008,93,1,4,2
2007,100,1,1,3
2014,150,7,9,2
2022,94,1,1,2
2013,114,6,3,3
2016,129,1,10,3
2005,106,6,2,2
2018,107,4,20,3
2014,105,2,8,3
2007,113,2,4,3
2016,112,1,5,2
2006,88,5,20,3
2008,75,2,1,2
2022,110,2,1,3
2016,118,1,1,2
2015,111,2,1,2
2022,101,2,2,2
2002,92,3,20,2
2022,97,1,1,3
2008,128,7,3,3
2010,117,4,16,3
2016,120,8,3,2
2022,95,5,2,1
2016,86,7,2,3
2000,98,5,1,2
2008,113,2,4,3
2002,92,6,20,3
2020,113,3,5,2
2014,117,3,4,3
2013,88,3,4,3
2007,191,12,3,3
2000,124,8,1,2
2007,99,2,1,3
2013,110,5,20,2
2013,109,5,11,3
2004,86,2,20,3
2017,100,1,1,2
2000,112,1,4,2
2015,93,3,6,3
2016,92,1,3,2
2017,88,4,10,2
2010,105,1,3,3
2001,112,1,1,3
2017,111,1,5,3
2004,101,9,1,2
2003,139,1,4,3
2014,106,7,16,3
2020,92,1,1,2
2010,109,5,17,3
2021,109,8,1,3
2009,108,1,5,3
2019,114,5,12,2
2022,110,2,1,1
2009,106,6,11,3
2013,129,12,16,3
2013,115,2,14,3
2010,107,2,2,3
2013,103,2,5,3
2011,113,7,16,3
2020,118,7,5,3
2002,117,4,9,3
2013,101,2,4,3
2004,113,1,9,2
2007,100,1,3,2
2015,120,3,4,3
2006,87,2,1,2
2016,115,1,1,3
2018,100,1,4,3
2006,132,4,5,2
2017,134,5,3,3
2018,110,3,1,3
2021,98,1,3,2
2016,113,1,4,3
2018,96,5,4,3
2010,100,2,5,3
2004,118,10,2,3
2017,90,4,2,2
2007,103,1,7,3
2016,111,1,1,3
2014,119,1,10,3
2013,109,4,3,3
2015,127,5,7,2
2019,123,3,5,3
2012,135,1,4,3
2017,107,3,16,2
2016,92,1,4,3
2010,133,1,10,3
2022,97,6,28,1
2010,107,1,1,3
2016,112,1,3,2
2007,115,2,3,3
2020,93,2,1,2
2021,86,1,2,3
2005,93,12,1,1
2014,110,1,27,1
2000,114,1,1,3
2012,103,8,14,3
2011,88,2,2,3
2010,105,1,16,3
2008,118,3,5,3
2008,113,2,3,2
2008,105,9,20,3
2022,96,7,28,1
2018,98,1,6,2
2021,94,7,6,2
2005,111,8,20,3
2017,132,2,2,3
2022,105,6,28,1
2008,115,1,6,3
2008,106,5,10,3
2014,132,1,2,3
2003,102,12,10,3
2003,94,1,2,2
2006,139,2,4,3
2022,90,1,10,2
2014,125,3,2,3
2002,101,2,6,3
2012,91,1,1,0
2021,108,1,1,2
2011,104,6,3,3
2009,79,1,5,3
2013,116,1,28,3
2022,97,1,1,2
2008,96,2,3,3
2022,84,2,4,2
2019,98,1,1,3
2016,97,1,3,3
2014,118,2,3,3
2014,105,9,2,2
2003,84,12,1,2
2012,102,2,8,3
2019,87,1,3,3
2003,129,5,9,3
2011,117,4,16,3
2018,123,1,1,3
2010,103,1,10,2
2008,120,4,4,3
2011,93,8,20,3
2018,91,1,2,3
2010,96,4,1,3
2014,150,3,4,3
2015,95,2,1,3
2005,95,1,1,3
2013,100,1,20,3
2005,93,2,4,2
2002,105,4,2,3
2013,113,6,2,3
2004,94,1,9,3
2014,104,2,1,2
2003,97,3,2,2
2021,109,2,16,2
2018,111,1,2,2
2007,96,3,27,3
2005,110,7,8,2
2012,97,1,7,3
2001,90,6,20,3
2016,96,3,1,3
2002,116,1,8,3
2014,102,1,2,2
2003,104,10,20,3
2005,115,1,5,2
2015,102,3,1,3
2005,129,8,10,2
2016,114,2,12,3
2013,150,5,10,3
2018,104,2,1,2
2011,89,12,1,1
2011,111,2,4,3
2009,134,6,3,3
2011,83,6,5,3
2012,105,2,3,3
2015,92,8,20,2
2013,112,3,20,3
2005,101,4,3,3
2021,110,1,4,2
2008,135,5,6,2
2001,124,1,6,3
2003,116,2,8,2
2017,108,1,1,3
2010,109,4,27,3
2017,113,8,1,3
2020,83,1,3,2
2000,99,2,15,2
2010,100,1,2,2
2008,109,8,4,2
2014,104,1,1,3
2021,124,1,1,2
2019,107,2,8,3
2009,90,2,2,3
2019,102,1,1,3
2022,107,1,1,2
2011,146,7,1,3
2006,141,6,1,3
2010,97,1,4,3
2020,100,1,7,2
2000,107,2,3,1
2013,90,4,3,2
2006,106,4,6,3
2021,94,1,2,2
2018,104,7,16,3
2016,92,3,8,2
2012,94,4,3,2
2006,105,2,9,2
2001,99,4,8,3
2013,98,4,28,2
2017,161,2,6,2
2016,98,2,20,2
2022,98,3,6,2
2008,110,2,1,3
2015,105,2,1,3
2003,121,13,28,3
2010,110,3,1,2
2013,125,2,4,2
2005,118,1,10,2
2010,102,1,3,3
2022,94,5,3,2
2002,96,3,5,2
2019,108,3,1,3
2014,114,1,16,3
2007,94,2,2,2
2022,89,1,2,2
2004,120,2,20,2
2016,117,1,8,3
2016,107,9,9,2
2021,106,2,6,2
2015,96,2,4,3
2008,105,4,2,2
2003,117,1,5,2
2012,92,5,16,3
2022,98,7,5,2
2000,99,1,3,2
2019,117,3,9,2
2018,95,1,1,2
2015,90,2,10,2
2019,120,2,1,3
2008,109,7,9,3
2009,92,1,2,3
2001,97,2,1,3
2014,103,2,5,3
2013,107,12,16,2
2018,103,7,2,2
2005,105,7,4,2
2016,120,1,1,3
2013,97,1,5,3
2015,93,1,3,3
2020,99,2,5,3
2016,133,10,16,3
2021,141,1,2,3
2003,88,2,3,2
2017,120,2,3,3
2003,106,5,1,2
2016,91,2,6,2
2012,95,9,9,2
2009,98,3,6,3
2021,99,2,6,2
2016,182,11,1,3
2007,94,3,9,3
2009,94,2,3,3
2011,108,5,1,3
2016,133,1,2,2
2014,117,5,4,3
2005,87,6,20,3
2003,119,4,10,3
2001,126,6,3,3
2000,118,2,8,1
2022,92,1,1,2
2013,107,1,6,3
2016,120,1,1,3
2014,109,7,6,2
2015,96,1,2,2
2005,97,2,2,2
2009,102,1,3,2
2013,118,2,20,3
2022,96,1,2,2
2011,116,1,20,3
2006,98,2,1,2
2000,116,4,6,3
2016,161,1,4,4
2014,108,5,16,2
2022,90,1,1,1
2007,91,6,20,3
2020,103,1,1,3
2007,92,6,2,2
2012,105,4,2,2
2009,96,5,20,3
2014,89,2,1,2
2018,94,1,2,3
2013,102,2,2,3
2001,92,4,2,2
2018,117,1,1,2
2009,93,4,3,2
2005,103,6,7,3
2008,95,1,8,2
2003,115,3,1,3
2006,111,7,1,3
2022,93,1,3,2
2019,109,2,1,2
2009,84,1,6,3
2011,116,3,5,2
2014,91,1,2,2
2017,101,1,20,2
2001,98,3,7,3
2016,123,4,2,2
2015,96,1,5,3
2022,112,1,1,2
2000,99,4,9,2
2018,108,1,1,2
2010,96,9,9,2
2019,111,6,9,3
2005,106,5,20,3
2002,101,5,8,3
2022,90,1,6,3
2001,95,1,2,3
2021,78,3,1,3
2004,97,6,2,2
2018,102,3,20,2
2001,131,3,3,3
2019,105,4,2,2
2011,106,4,2,2
2007,105,1,2,3
2018,109,1,1,3
2004,104,1,3,1
2019,102,1,1,3
2020,116,2,1,2
2017,88,7,5,3
2020,99,2,16,2
2004,97,6,6,3
2016,107,1,1,3
2000,130,6,2,3
2020,102,2,2,1
2021,110,1,1,2
2014,88,2,5,2
2018,91,1,6,2
2010,104,2,1,3
2021,123,1,1,3
2012,93,2,1,2
2019,93,1,5,3
2008,104,5,20,2
2016,108,2,5,2
2010,97,4,3,3
2018,96,2,2,3
2016,101,2,4,3
2005,113,2,28,3
2022,120,1,1,2
2011,96,5,27,2
2005,121,7,1,2
2019,87,14,15,3
2016,102,2,1,3
2019,97,1,3,3
2006,108,2,1,3
2016,107,8,28,2
2012,132,1,6,2
2002,99,2,3,2
2011,102,2,1,2
2012,94,1,20,3
2008,100,4,16,2
2002,100,12,3,2
2009,111,1,4,3
2019,120,2,1,2
2020,93,1,2,3
2001,116,7,14,2
2013,100,1,20,3
2003,87,3,3,3
2018,107,1,28,3
2021,108,1,2,2
2022,96,1,28,1
2022,91,9,1,2
2019,104,1,5,3
2014,99,6,4,3
2021,99,4,5,2
2001,109,2,2,3
2011,129,3,15,3
2008,103,2,1,2
2007,127,16,20,1
2007,101,1,2,2
2010,119,3,1,3
2012,91,1,2,2
2014,99,1,2,3
2016,88,4,7,3
2010,117,8,7,3
2000,115,7,7,3
2019,118,2,3,3
2022,130,1,1,1
2000,94,1,10,3
2016,105,1,1,2
2015,107,2,10,2
2022,88,5,3,3
2011,93,2,4,2
2001,129,5,1,3
2007,86,1,5,3
2009,118,1,5,3
2019,100,1,2,3
2018,121,2,1,3
2022,96,1,15,2
2005,95,16,2,1
2018,89,1,3,3
2009,91,1,3,2
2021,114,2,2,2
2012,99,3,8,2
2017,95,2,3,2
2007,99,2,4,2
2019,107,5,10,3
2015,96,4,9,2
2020,93,1,1,2
2007,110,10,5,3
2022,92,14,28,2
2009,84,1,8,2
2022,88,1,1,1
2012,82,2,2,3
2004,91,1,1,2
2016,98,1,8,2
2008,103,1,2,2
2018,117,1,2,3
2008,104,1,20,3
2014,92,1,3,3
2019,115,1,1,2
2004,94,2,1,3
2003,105,5,5,3
2005,109,4,6,3
2018,96,8,14,1
2000,106,1,4,2
2016,88,4,1,2
2000,110,2,20,3
2017,86,3,1,3
2004,106,1,1,3
2013,106,3,3,3
2015,115,4,2,2
2012,91,2,3,3
2014,108,7,4,2
2017,89,1,3,3
2007,113,2,6,2
2019,109,1,1,3
2020,106,2,6,2
2012,93,1,1,2
2011,110,3,3,2
2017,87,5,10,2
2008,115,1,1,3
2017,137,2,2,3
2022,109,1,1,3
2010,102,2,1,3
2012,88,1,6,3
2011,87,2,2,2
2004,113,4,5,3
2017,87,1,1,3
2001,87,2,7,2
2002,97,1,1,3
2019,95,3,2,2
2016,100,2,1,3
2011,100,1,2,3
2016,113,3,1,3
2007,105,3,4,3
2007,115,3,1,3
2005,127,6,1,2
2006,93,4,1,2
2011,101,1,3,3
2009,98,2,20,2
2003,109,5,16,2
2003,102,4,3,2
2000,96,1,2,2
2011,95,2,1,3
2014,103,1,5,3
2004,136,3,3,3
2009,92,4,1,2
2017,93,2,5,2
2017,98,1,2,3
2015,114,7,16,3
2012,125,1,12,2
2016,139,3,6,3
2018,72,1,1,2
2019,99,1,1,2
2006,247,3,3,4
2002,81,1,1,3
2018,97,1,1,2
2010,97,11,2,3
2001,98,1,3,2
2015,117,2,12,3
2007,122,2,2,3
2007,87,3,8,3
2018,96,1,4,2
2012,110,1,1,3
2022,118,2,1,3
2007,90,1,1,2
2015,86,1,1,2
2018,156,1,1,4
2009,99,4,1,3
2000,123,1,6,2
2012,101,7,2,2
2008,114,3,1,3
2018,94,1,4,2
2011,88,4,1,3
2012,95,2,10,2
