year,runtime,director_count,star_count,rating_class
2014,108,3,6,3
2010,115,7,10,3
2019,104,1,1,2
2010,111,1,2,3
2016,76,6,2,3
2003,98,2,8,3
2021,141,1,1,2
2011,89,1,6,2
2006,125,3,6,3
2022,97,1,2,1
2005,116,7,9,3
2014,99,7,5,2
2016,95,1,1,3
2014,101,1,1,2
2019,124,2,1,2
2017,86,1,2,3
2021,96,2,8,2
2015,92,1,1,2
2002,95,1,3,1
2008,90,2,5,3
2015,87,1,3,2
2016,91,2,4,3
2011,119,1,2,2
2011,97,1,20,3
2000,104,1,10,2
2001,82,1,1,2
2011,95,4,27,2
2019,97,3,14,2
2004,84,1,1,2
2018,91,2,2,3
2003,89,1,1,2
2010,94,2,4,1
2015,90,1,1,2
2016,93,1,2,2
2011,86,1,1,3
2012,100,1,1,3
2011,107,2,3,2
2022,87,1,1,1
2021,96,3,15,2
2014,92,2,5,2
2007,93,1,7,2
2012,118,4,1,3
2017,91,4,8,2
2021,88,6,5,1
2017,97,1,1,3
2010,107,4,28,2
2021,87,1,1,1
2008,90,1,16,2
2014,108,3,1,3
2009,132,13,2,3
2020,134,1,1,2
2011,107,1,4,2
2009,129,2,2,3
2022,88,4,10,1
2009,103,1,1,3
2010,118,1,1,3
2010,92,4,8,3
2018,105,14,15,3
2006,104,3,7,3
2002,86,1,2,2
2009,108,7,3,2
2020,123,2,2,2
2009,93,1,6,3
2009,96,7,1,1
2021,99,4,6,1
2021,92,1,1,2
2002,108,2,6,2
2021,91,4,3,1
2020,115,1,1,2
2016,107,3,1,3
2010,94,2,20,2
2017,94,1,2,3
2019,99,2,4,2
2008,98,1,1,2
2016,104,2,2,2
2011,114,2,7,3
2017,92,1,1,2
2009,88,1,2,2
2021,85,3,3,3
2009,102,1,1,3
2020,92,1,1,1
2021,97,3,1,1
2006,93,2,12,2
2012,100,1,5,2
2011,121,3,1,3
2018,86,1,28,2
2019,131,1,1,3
2011,99,1,1,2
2012,94,1,2,2
2020,91,1,6,2
2001,87,1,3,2
2022,89,1,1,1
2014,110,2,9,2
2007,117,1,2,3
2012,104,1,1,3
2010,92,2,2,2
2011,148,1,1,3
2018,104,3,3,2
2022,105,1,3,1
2014,109,1,10,2
2017,116,1,3,3
2014,90,1,6,2
2022,96,5,3,1
2020,105,5,5,2
2001,125,2,3,2
2005,101,3,4,2
2016,107,7,20,2
2007,84,1,1,2
2005,132,2,1,3
2021,120,1,3,2
2019,89,4,5,1
2019,88,4,4,2
2002,134,4,27,3
2022,153,2,1,4
2002,110,6,2,3
2017,90,1,1,2
2002,105,4,2,3
2003,114,1,20,3
2022,95,1,3,2
2012,96,2,7,3
2022,105,1,1,2
2017,107,4,20,2
2000,119,4,4,3
2016,102,6,4,2
2013,94,3,3,2
2002,132,1,3,3
2002,98,1,20,2
2013,110,3,3,3
2012,93,2,6,2
2019,98,8,5,2
2005,96,16,7,1
2016,128,3,27,2
2020,93,3,2,3
2001,101,7,16,2
2003,90,16,1,1
2013,86,3,4,2
2016,96,2,10,3
2022,92,1,1,2
2016,80,1,8,3
2018,104,1,1,2
2002,94,3,9,3
2008,186,1,4,3
2001,95,1,1,2
2022,82,2,1,3
2015,94,2,3,2
2014,92,3,1,2
2017,111,1,2,3
2009,118,1,8,3
2007,100,16,1,2
2014,93,3,1,3
2014,97,4,2,2
2021,84,1,3,3
2017,116,1,2,3
2007,119,5,1,3
2010,90,1,1,2
2015,96,1,1,2
2009,86,1,1,2
2010,108,5,10,3
2006,84,1,2,2
2009,105,3,7,2
2016,81,2,2,2
2018,111,1,1,3
2015,110,1,1,3
2006,93,1,2,2
2021,97,1,1,3
2016,95,3,2,2
2014,85,1,1,2
2015,127,3,20,2
2010,81,1,3,2
2010,98,1,1,3
2015,104,2,2,3
2008,113,4,3,3
2015,97,4,8,2
2014,153,1,7,2
2017,109,1,20,2
2019,102,1,6,2
2019,85,5,16,1
2012,92,3,14,2
2012,95,1,5,2
2018,102,1,8,2
2006,115,1,6,3
2000,110,1,1,3
2018,84,1,1,3
2018,116,1,1,2
2006,92,1,3,2
2016,102,2,4,3
2008,110,1,2,2
2011,108,3,1,2
2012,109,5,16,3
2021,93,6,3,1
2018,89,3,1,2
2016,104,1,6,3
2004,97,2,2,2
2013,90,1,1,3
2013,141,3,1,3
2022,93,1,5,1
2005,111,5,5,3
2019,89,1,2,2
2013,95,1,1,2
2018,96,3,1,2
2015,115,1,5,3
2013,127,1,5,3
2006,105,1,5,2
2020,104,1,2,2
2017,106,2,5,2
2014,93,8,2,2
2015,93,1,1,3
2010,92,2,3,2
2022,86,4,14,1
2012,98,1,2,3
2020,131,1,3,2
2004,80,1,6,2
2015,90,1,1,3
2012,94,1,1,2
2015,97,1,3,2
2021,168,3,3,3
2011,98,1,2,2
2010,149,1,1,3
2015,82,8,28,2
2019,93,2,1,2
2006,140,1,6,3
2001,106,1,3,3
2022,135,2,1,3
2015,96,2,2,2
2018,95,14,1,2
2013,118,1,5,3
2006,88,2,9,2
2014,116,2,1,3
2019,92,9,6,2
2001,93,3,9,3
2016,95,2,5,2
2022,78,1,1,2
2000,135,2,1,3
2019,93,1,3,3
2018,107,2,1,3
2015,84,1,2,3
2019,87,1,8,2
2002,98,2,2,1
2018,110,1,1,2
2004,95,2,1,2
2022,97,6,28,1
2019,103,1,27,2
2018,92,8,1,1
2003,116,1,5,2
2010,91,1,1,1
2020,113,2,1,2
2011,99,5,1,3
2011,79,16,1,1
2002,94,2,1,2
2020,107,4,20,2
2020,86,1,1,3
2009,113,2,2,3
2021,92,1,1,2
2019,96,14,5,2
2002,95,2,6,2
2003,110,1,3,3
2006,102,2,28,3
2019,91,3,27,2
2018,93,3,1,2
2014,90,2,8,2
2009,104,5,2,3
2015,105,5,10,3
2018,100,1,2,3
2017,108,1,1,3
2021,90,1,1,2
2019,89,1,1,2
2000,103,1,1,3
2022,106,1,28,2
2019,97,2,27,2
2009,101,4,6,2
2017,74,6,2,2
2017,99,1,1,3
2016,98,1,5,2
2015,112,1,1,2
2000,102,1,14,2
2021,87,3,3,3
2003,101,7,7,2
2014,88,1,1,1
2000,106,7,1,2
2001,111,1,1,2
2017,95,8,1,2
2013,103,1,5,3
2017,97,8,28,2
2022,102,2,1,2
2020,87,1,1,2
2004,91,1,5,2
2002,97,1,3,2
2021,91,6,28,1
2010,64,5,1,3
2017,95,1,5,2
2018,107,3,1,2
2018,86,3,27,2
2009,104,1,1,2
2014,94,4,2,2
2020,109,1,2,2
2001,81,1,1,2
2018,88,4,1,2
2022,90,1,2,1
2021,99,1,3,2
2009,109,1,1,2
2021,104,4,5,2
2019,89,8,1,1
2009,85,16,3,3
2004,115,1,2,3
2018,110,2,2,2
2010,124,3,4,3
2008,110,5,1,3
2022,95,3,6,1
2017,106,2,1,2
2008,150,1,1,3
2008,133,4,3,3
2019,96,5,1,1
2002,116,2,1,2
2012,97,1,2,2
2017,90,2,9,2
2020,97,2,2,2
2011,88,3,1,2
2018,78,6,2,3
2009,109,2,1,2
2020,91,3,5,1
2021,104,1,1,2
2020,128,3,2,2
2021,93,1,4,2
2010,100,1,4,3
2014,90,2,2,2
2022,137,1,1,1
2016,93,2,27,2
2008,118,1,2,3
2004,125,6,1,3
2001,94,3,5,2
2018,102,1,1,2
2019,92,1,17,2
2003,88,2,20,2
2008,118,4,2,3
2015,86,2,1,3
2012,92,1,5,3
2010,93,2,1,2
2000,87,2,6,2
2014,100,3,1,3
2022,96,1,6,2
2018,90,1,1,3
2005,103,2,1,2
2008,114,1,1,3
2016,84,9,16,1
2017,90,1,1,2
2015,96,1,4,2
2019,107,1,1,3
2018,106,1,1,2
2017,94,1,28,2
2005,80,1,1,2
2011,103,2,1,3
2020,80,2,2,3
2021,93,1,1,2
2001,108,3,4,3
2007,96,1,1,3
2020,97,14,15,2
2022,88,1,1,1
2016,106,1,16,2
2013,91,1,1,2
2013,112,2,8,2
2020,93,3,4,1
2000,88,1,4,2
2006,152,2,7,3
2021,88,3,1,2
2019,87,1,2,2
2008,160,2,1,3
2021,107,2,6,2
2016,100,3,24,2
2017,90,1,1,1
2018,88,1,6,1
2002,106,1,4,3
2013,85,1,1,3
2022,93,2,2,2
2011,105,1,1,3
2021,176,1,6,2
2013,95,1,1,2
2020,98,1,1,2
2014,94,1,5,2
2018,90,2,1,2
2019,125,1,1,2
2014,99,2,27,2
2021,101,1,1,2
2021,80,2,2,3
2020,97,6,1,2
2004,84,1,2,2
2012,96,8,27,2
2019,110,1,8,3
2016,118,2,4,3
2015,98,3,1,2
2006,91,1,2,2
2016,99,2,3,2
2016,170,2,6,3
2004,100,1,3,2
2018,104,1,17,2
2021,101,5,1,2
2020,90,5,28,1
2022,88,1,1,2
2021,97,4,1,1
2011,109,1,1,3
2001,120,3,6,3
2013,91,3,6,2
2020,104,1,1,3
2021,100,2,1,2
2016,108,5,1,2
2021,85,1,1,2
2009,86,5,15,2
2016,95,9,16,1
2020,108,1,2,3
2016,95,1,1,2
2013,90,2,6,2
2006,154,3,7,3
2009,107,1,1,3
2016,120,1,1,2
2014,95,1,1,2
2022,63,1,1,1
2019,82,1,1,2
2013,106,4,2,2
2012,109,1,20,2
2003,98,1,1,2
2018,101,2,1,2
2017,96,1,6,2
2004,123,7,20,3
2018,85,1,1,2
2012,90,1,16,2
2013,105,1,2,2
2017,89,5,1,2
2011,137,1,4,3
2019,100,1,5,1
2021,119,1,1,2
2016,90,1,28,2
2016,110,1,2,3
2019,87,6,1,3
2021,83,6,1,3
2021,91,3,1,1
2018,99,3,2,2
2013,89,4,4,2
2009,95,3,5,2
2021,81,1,1,1
2018,98,1,1,2
2014,90,2,1,2
2015,82,1,1,2
2012,114,4,17,2
2006,110,4,2,2
2013,94,1,5,2
2020,90,1,1,2
2016,99,1,3,2
2021,97,7,28,1
2015,96,1,2,3
2003,104,1,3,2
2019,97,8,1,2
2007,90,1,1,3
2021,94,2,3,1
2020,89,1,1,2
2019,130,1,1,3
2019,92,2,3,3
2016,90,7,5,2
2014,102,5,2,2
2008,84,1,1,2
2018,119,3,1,2
2009,93,1,1,2
2012,92,2,9,1
2005,110,3,1,2
2012,112,3,3,3
2017,92,1,1,1
2021,93,1,1,3
2008,106,1,1,3
2022,94,6,5,2
2013,110,1,1,3
2022,96,1,1,2
2018,114,1,1,3
2007,139,2,2,3
2012,89,1,1,2
2008,98,1,1,3
2022,86,1,1,1
2021,100,1,1,2
2013,122,1,2,3
2013,85,1,8,2
2022,84,7,2,2
2021,90,3,1,2
2021,112,1,1,2
2022,104,1,1,3
2022,94,1,1,2
2022,90,1,1,2
2013,172,2,4,2
2014,82,1,2,2
2017,88,3,5,2
2020,105,1,2,2
2017,93,2,6,2
2017,83,3,1,2
2017,110,1,1,1
2020,98,5,6,1
2008,95,16,2,1
2020,149,1,1,3
2016,86,3,1,2
2013,99,2,5,3
2022,93,5,3,2
2004,129,2,3,3
2003,98,2,17,3
2011,90,1,1,2
2016,99,1,1,2
2021,98,1,1,3
2009,76,1,2,2
2015,120,1,1,3
2008,111,1,8,2
2010,107,4,1,3
2015,96,8,8,2
2021,90,5,15,2
2011,90,3,7,2
2002,90,1,1,2
2014,92,3,4,2
2003,110,1,2,2
2017,93,3,1,2
2023,100,3,5,1
2020,97,1,7,2
2018,134,1,1,3
2018,89,8,28,2
2020,94,2,1,2
2018,89,2,2,1
2012,108,3,4,3
2004,106,2,4,3
2005,97,1,1,1
2014,103,5,6,2
2022,80,2,1,2
2021,93,1,1,2
2002,94,2,2,2
2022,90,1,1,2
2019,112,1,3,2
2009,114,1,1,3
2019,83,1,1,2
2021,93,4,2,1
2013,93,1,1,2
2006,97,1,2,2
2005,99,1,2,1
2006,96,1,8,2
2020,108,1,2,3
2014,92,2,27,2
2012,135,2,1,3
2005,95,1,1,2
2010,85,3,2,2
2020,117,1,1,3
2010,124,1,4,3
2001,104,3,1,2
2014,98,3,1,3
2018,89,1,5,1
2018,96,3,4,2
2000,82,2,2,2
2020,96,1,1,2
2022,99,3,1,1
2010,82,4,1,2
2013,81,1,2,2
2004,143,1,1,4
2021,117,1,1,3
2008,97,2,17,3
2021,101,1,1,2
2002,95,2,4,2
2016,100,3,2,2
2017,92,8,27,1
2014,96,2,24,2
2011,102,1,1,3
2020,87,1,1,2
2014,115,1,1,3
2013,99,16,7,2
2018,90,2,1,1
2011,103,1,1,2
2002,95,1,1,2
2012,89,3,1,2
2015,105,1,1,3
2019,108,1,6,2
2016,95,1,1,2
2010,88,1,1,3
2018,132,1,1,3
2007,95,2,1,1
2018,107,1,1,2
2011,130,2,1,3
2002,96,1,5,2
2016,107,1,1,2
2018,75,1,1,3
2021,112,2,1,3
2010,92,6,1,1
2013,95,1,17,2
2007,114,2,1,2
2022,87,2,1,1
2013,92,1,3,2
2015,94,4,3,2
2003,90,5,2,3
2020,101,1,2,2
2007,107,1,2,1
2014,135,2,2,3
2009,83,1,1,1
2009,97,4,24,2
2003,97,3,1,2
2021,94,14,1,2
2021,82,2,2,3
2015,118,1,6,2
2009,105,1,2,2
2011,113,1,1,3
2000,109,4,1,2
2001,87,2,20,2
2019,104,1,5,3
2011,105,3,27,3
2019,95,1,1,1
2017,93,1,1,3
2015,80,1,3,2
2016,97,2,3,3
2005,83,3,9,2
2010,117,1,4,3
2016,105,4,3,2
2001,117,1,2,3
2007,86,1,1,3
2014,94,2,27,2
2013,98,8,5,2
2018,99,3,1,2
2019,87,5,1,1
2002,98,3,2,2
2022,90,1,1,3
2018,89,2,1,2
2016,85,2,1,1
2021,101,1,1,1
2022,82,1,2,1
2009,134,3,4,3
2015,96,3,1,2
2016,94,3,1,2
2006,82,1,1,1
2014,119,1,1,2
2022,132,1,1,3
2022,103,1,1,2
2022,88,1,1,2
2021,82,7,3,1
2009,84,1,1,2
2022,88,1,1,1
2018,87,1,1,1
2007,121,5,1,3
2022,90,3,1,1
2008,107,1,8,2
2004,88,1,3,2
2019,77,6,1,3
2020,94,1,1,2
2016,86,9,16,1
2011,87,2,1,2
2001,94,2,3,2
2003,111,1,8,3
2020,101,1,15,2
2014,116,3,4,3
2023,100,1,3,2
2022,87,1,2,1
2008,99,2,27,2
2022,89,1,1,1
2015,90,1,5,2
2009,88,2,2,2
2020,98,3,1,1
2012,94,2,1,3
2013,92,1,3,2
2020,91,7,15,1
2004,93,1,2,2
2018,160,3,1,2
2000,117,2,9,2
2017,106,4,3,2
2015,104,5,17,2
2014,96,1,8,2
2009,91,1,1,2
2014,108,1,8,2
2007,97,3,8,2
2016,90,9,16,1
2010,98,1,16,2
2013,111,1,3,3
2018,85,3,16,1
2012,115,5,17,2
2021,99,1,5,2
2017,87,1,1,2
2015,103,1,2,2
2015,90,4,1,2
2003,95,4,16,1
2018,94,1,17,2
2015,95,2,2,3
2001,90,1,1,2
2019,99,1,1,3
2015,156,2,5,3
2006,106,1,9,2
2022,82,2,1,2
2017,89,1,1,2
2017,94,1,1,3
2002,91,6,10,1
2021,94,7,3,1
2014,94,8,7,2
2014,85,1,1,2
2017,123,2,6,2
2021,88,3,27,1
2016,111,2,16,3
2021,111,1,1,2
2011,88,1,4,2
2013,85,3,2,2
2015,94,2,2,2
2020,141,2,2,2
2010,123,1,7,2
2000,102,2,1,2
2012,88,2,1,2
2016,88,1,1,2
2014,90,1,2,2
2001,93,1,1,1
2006,117,2,1,3
2009,101,2,1,3
2010,76,1,1,2
2006,93,3,6,1
2019,105,5,1,2
2016,85,2,1,1
2011,90,8,5,2
2016,108,2,1,2
2013,116,2,8,1
2017,91,1,2,2
2013,89,1,8,2
2002,97,1,14,2
2002,109,2,1,3
2007,88,5,10,3
2018,96,1,2,1
2021,84,1,1,0
2015,120,6,5,3
2008,90,2,2,2
2003,94,2,12,3
2019,112,1,1,2
2012,95,14,6,2
2010,109,2,2,3
2016,90,1,1,2
2013,104,5,5,2
2014,89,4,3,1
2019,92,1,3,3
2019,90,1,1,2
2018,130,1,3,3
2016,94,3,15,2
2019,99,1,1,3
2013,130,1,1,3
2013,80,2,2,2
2009,101,1,2,3
2004,102,1,6,2
2007,111,1,3,2
2015,123,3,2,3
2017,90,6,1,2
2022,93,1,16,1
2011,94,1,2,2
2022,87,1,1,1
2020,96,1,1,1
2017,85,2,1,2
2020,103,6,5,1
2014,94,5,1,2
2021,83,4,14,1
2000,119,13,5,2
2017,98,1,8,2
2004,126,1,2,3
2007,98,1,1,3
2019,89,1,1,2
2015,88,1,1,3
2010,106,5,10,3
2011,98,1,1,2
2003,91,1,1,3
2020,88,3,15,2
2021,86,1,3,1
2003,171,3,7,3
2012,75,9,2,0
2008,81,1,1,1
2016,88,1,1,1
2018,101,1,1,2
2009,91,3,2,2
2015,140,2,2,3
2006,93,5,2,3
2017,85,4,2,2
2019,85,1,7,2
2018,111,1,1,2
2022,99,2,1,2
2014,100,1,3,2
2003,90,1,1,3
2015,97,8,5,1
2015,88,2,1,2
2011,101,5,17,3
2005,93,1,1,2
2016,88,1,16,1
2022,86,2,4,1
2009,102,1,6,2
2014,85,2,1,1
2022,153,4,6,2
2003,119,5,2,3
2006,118,2,1,3
2010,81,2,1,2
2014,95,1,1,2
2019,97,3,2,3
2014,86,3,1,2
2015,89,9,3,1
2017,85,1,1,2
2014,90,2,3,2
2014,137,2,1,3
2013,85,4,2,2
2019,99,3,1,2
2012,91,9,3,1
2020,80,2,1,2
2017,96,1,17,2
2010,101,1,10,2
2018,106,3,1,2
2008,99,2,3,2
2022,144,1,1,1
2018,164,2,4,1
2015,83,1,1,2
2020,105,6,7,2
2015,122,1,1,2
2016,78,2,1,3
2010,83,1,1,3
2015,96,9,16,2
2022,106,5,1,3
2021,79,3,1,2
2017,105,1,1,2
2012,96,2,3,2
2011,106,7,2,2
2022,71,17,1,0
2007,97,1,1,2
2010,98,9,27,2
2000,82,1,1,2
2022,97,1,1,1
2020,114,2,1,2
2012,163,1,2,2
2013,100,1,1,2
2003,92,1,2,2
2022,80,1,1,2
2017,111,1,1,3
2017,95,1,1,1
2001,100,2,17,2
2011,120,3,2,2
2001,99,3,1,2
2009,130,2,1,3
2011,90,4,12,2
2008,96,16,9,2
2020,87,1,1,3
2017,92,1,2,2
2013,103,1,1,2
2018,89,7,1,2
2016,86,1,3,1
2017,128,2,10,3
2017,109,7,3,1
2009,161,1,2,2
2004,107,1,7,2
2021,111,2,1,3
2009,94,9,16,2
2004,91,5,17,2
2021,109,1,1,1
2015,107,3,4,2
2019,122,1,1,3
2011,90,2,4,2
2016,85,1,1,2
2016,90,9,1,1
2014,108,3,1,2
2015,87,9,3,2
2021,89,1,1,1
2014,86,16,7,1
2016,90,1,2,2
2021,89,7,5,1
2012,93,2,1,1
2017,120,1,1,3
2013,86,2,2,2
2012,174,2,7,3
2018,85,3,1,2
2022,90,2,9,2
2019,107,1,2,2
2012,91,4,12,2
2019,123,1,1,3
2008,80,2,1,3
2013,99,1,1,2
2019,88,1,1,1
2022,94,2,1,1
2011,85,5,3,2
2012,90,1,9,2
2001,90,1,2,2
2020,85,5,15,2
2017,119,3,8,3
2019,87,1,1,1
2012,98,9,16,2
2009,139,2,1,3
2018,93,1,1,2
2017,85,2,1,1
2020,86,1,1,1
2012,106,1,3,3
2007,85,1,1,3
2013,84,1,2,2
2020,90,4,5,2
2015,109,1,4,2
2015,110,2,7,2
2005,97,2,16,2
2014,93,16,3,2
2010,108,1,17,3
2009,119,1,20,3
2019,140,1,3,1
2018,100,3,1,2
2021,109,2,1,1
2019,113,1,1,1
2008,108,3,3,3
2019,92,1,1,1
2005,99,1,3,2
2013,88,4,5,2
2005,103,7,2,3
2008,128,2,2,3
2021,82,1,3,1
2011,113,7,2,2
2021,82,1,16,2
2011,96,16,24,1
2022,98,5,1,3
2020,108,1,1,2
2013,124,1,1,3
2022,45,1,1,4
2017,99,2,7,2
2012,87,1,1,2
2017,90,1,1,2
2018,92,4,2,2
2001,98,1,2,3
2022,92,3,1,1
2016,99,16,3,2
2020,87,7,12,1
2000,119,6,1,3
2016,107,7,3,2
2011,98,5,9,2
2019,87,5,24,1
2015,88,1,6,1
2011,94,2,6,2
2012,99,3,4,3
2013,89,5,2,1
2002,95,1,1,2
2017,88,2,1,1
2015,86,3,5,2
2012,99,1,15,2
2016,45,1,27,2
2020,93,1,1,1
2015,85,1,1,1
2006,122,2,1,2
2008,87,2,1,2
2021,90,4,8,2
2018,118,3,1,1
2000,92,1,6,2
2017,99,1,1,2
2014,105,1,1,3
2001,92,8,14,1
2010,87,1,1,2
2016,99,1,1,2
2022,90,1,1,2
2012,92,1,4,2
2015,95,1,2,2
2011,99,1,1,2
2018,91,2,1,2
2009,88,1,2,3
2016,92,1,1,2
2005,93,1,12,2
2013,97,1,2,1
2021,92,1,1,2
2013,95,5,15,3
2011,97,3,1,2
2010,86,8,1,1
2022,101,2,1,3
2013,89,1,1,3
2017,139,1,1,2
2015,92,1,1,2
2010,111,1,1,2
2018,165,1,1,2
2016,90,2,1,1
2003,94,1,1,1
2002,150,2,2,3
2020,84,3,1,1
2013,83,5,1,1
2021,136,2,2,2
2014,131,2,3,3
2017,113,8,4,2
2015,84,1,2,1
2012,94,5,1,2
2004,99,5,4,2
2015,102,1,2,2
2018,104,1,4,2
2022,80,1,1,3
2001,104,6,2,1
2017,85,1,1,2
2016,90,4,2,2
2022,95,1,1,3
2021,87,1,1,1
2017,90,1,3,2
2019,89,1,1,2
2011,90,1,3,2
2016,90,1,1,2
2002,93,1,1,2
2002,89,2,17,1
2017,71,3,3,1
2002,103,1,4,2
2013,92,6,12,2
2019,89,2,2,1
2019,98,1,1,1
2000,154,2,4,3
2007,90,1,1,1
2019,85,1,1,4
2014,100,8,1,4
2012,102,1,2,3
2018,110,2,1,3
2001,108,2,1,3
2013,88,1,3,2
2015,71,3,1,0
2011,91,5,4,2
2001,85,2,1,2
2017,92,8,10,2
2008,86,1,1,2
2014,90,6,1,1
2003,78,1,1,1
2017,95,1,3,2
2001,96,1,1,2
2011,137,1,2,3
2009,120,1,1,2
2021,86,2,2,1
2019,103,5,4,1
2016,113,3,2,2
2014,90,2,2,2
2019,98,1,1,1
2004,90,1,1,2
2015,90,2,6,2
2022,80,3,2,1
2018,89,1,1,2
2008,87,1,1,1
2013,127,1,1,3
2022,96,1,1,3
2010,107,3,2,2
2017,94,2,1,2
2018,87,14,5,2
2012,109,1,2,3
2008,97,2,2,2
2011,133,2,1,3
2019,126,2,2,2
2017,93,7,9,1
2019,85,1,8,1
2012,95,1,1,2
2018,88,1,1,2
2013,96,1,1,1
2012,90,1,1,2
2001,92,4,1,1
2017,85,1,1,1
2010,110,1,1,2
2011,87,16,1,1
2013,99,9,16,2
2020,84,3,27,0
2013,95,3,1,2
2018,158,3,1,2
2016,105,3,1,2
2022,86,1,1,2
2015,91,5,9,2
2011,143,3,4,3
2011,130,1,6,2
2016,96,1,6,2
2021,86,2,1,3
2000,48,1,1,3
2019,103,1,1,2
2005,88,2,1,1
2001,98,1,1,2
2018,92,1,1,1
2020,101,1,6,2
2018,86,1,1,1
2019,82,1,1,1
2022,106,5,1,4
2018,108,1,1,2
2017,103,1,1,2
2018,86,12,1,2
2004,104,1,4,3
2020,132,1,1,3
2019,90,1,1,2
2020,89,1,1,1
2019,104,1,1,2
2010,119,1,1,2
2006,110,7,4,3
2001,86,1,5,2
2018,80,1,7,1
2011,78,1,1,1
2001,88,2,1,2
2001,113,1,1,2
2006,105,1,9,3
2011,80,6,1,1
2020,90,4,2,1
2016,118,9,3,2
2004,107,1,1,3
2011,121,1,1,3
2007,88,1,2,1
2017,111,2,1,1
2016,116,1,1,3
2014,97,1,1,2
2014,136,2,2,3
2015,85,1,1,2
2022,120,1,1,1
2005,122,4,1,3
2008,105,1,1,3
2016,102,1,5,2
2011,114,3,3,3
2017,91,1,1,3
2021,101,1,1,3
2020,68,1,1,2
2012,89,5,7,1
2014,91,1,1,1
2019,91,14,2,2
2011,92,1,1,3
2021,87,1,1,1
2019,95,1,1,1
2001,95,1,1,1
2017,108,3,8,2
2016,91,1,1,2
2009,103,5,4,2
2003,84,2,1,1
2015,82,1,5,1
2016,87,2,1,2
2016,95,1,2,2
2021,85,2,5,1
